Party,Party Abbreviation,Won,Total
Bharatiya Janata Party - BJP,BJP,240,240
Indian National Congress - INC,INC,99,99
Samajwadi Party - SP,SP,37,37
All India Trinamool Congress - AITC,AITC,29,29
Dravida Munnetra Kazhagam - DMK,DMK,22,22
Telugu Desam - TDP,TDP,16,16
Janata Dal  (United) - JD(U),JD(U),12,12
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,SHSUBT,9,9
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,NCPSP,8,8
Shiv Sena - SHS,SHS,7,7
Lok Janshakti Party(Ram Vilas) - LJPRV,LJPRV,5,5
Yuvajana Sramika Rythu Congress Party - YSRCP,YSRCP,4,4
Rashtriya Janata Dal - RJD,RJD,4,4
Communist Party of India  (Marxist) - CPI(M),CPI(M),4,4
Indian Union Muslim League - IUML,IUML,3,3
Aam Aadmi Party - AAAP,AAAP,3,3
Jharkhand Mukti Morcha - JMM,JMM,3,3
Janasena Party - JnP,JnP,2,2
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),CPI(ML)(L),2,2
Janata Dal  (Secular) - JD(S),JD(S),2,2
Viduthalai Chiruthaigal Katchi - VCK,VCK,2,2
Communist Party of India - CPI,CPI,2,2
Rashtriya Lok Dal - RLD,RLD,2,2
Jammu & Kashmir National Conference - JKN,JKN,2,2
"United People’s Party, Liberal - UPPL",UPPL,1,1
Asom Gana Parishad - AGP,AGP,1,1
Hindustani Awam Morcha (Secular) - HAMS,HAMS,1,1
Kerala Congress - KEC,KEC,1,1
Revolutionary Socialist Party - RSP,RSP,1,1
Nationalist Congress Party - NCP,NCP,1,1
Voice of the People Party - VOTPP,VOTPP,1,1
Zoram People’s Movement - ZPM,ZPM,1,1
Shiromani Akali Dal - SAD,SAD,1,1
Rashtriya Loktantrik Party - RLTP,RLTP,1,1
Bharat Adivasi Party - BHRTADVSIP,BHRTADVSIP,1,1
Sikkim Krantikari Morcha - SKM,SKM,1,1
Marumalarchi Dravida Munnetra Kazhagam - MDMK,MDMK,1,1
Aazad Samaj Party (Kanshi Ram) - ASPKR,ASPKR,1,1
Apna Dal (Soneylal) - ADAL,ADAL,1,1
AJSU Party - AJSUP,AJSUP,1,1
All India Majlis-E-Ittehadul Muslimeen - AIMIM,AIMIM,1,1
Independent - IND,IND,7,7
